year,month,day,is_work
2015,1,1,False
2015,1,2,False
2015,1,3,False
2015,1,4,True
2015,1,5,True
2015,1,6,True
2015,1,7,True
2015,1,8,True
2015,1,9,True
2015,1,10,False
2015,1,11,False
2015,1,12,True
2015,1,13,True
2015,1,14,True
2015,1,15,True
2015,1,16,True
2015,1,17,False
2015,1,18,False
2015,1,19,True
2015,1,20,True
2015,1,21,True
2015,1,22,True
2015,1,23,True
2015,1,24,False
2015,1,25,False
2015,1,26,True
2015,1,27,True
2015,1,28,True
2015,1,29,True
2015,1,30,True
2015,1,31,False
2015,2,1,False
2015,2,2,True
2015,2,3,True
2015,2,4,True
2015,2,5,True
2015,2,6,True
2015,2,7,False
2015,2,8,False
2015,2,9,True
2015,2,10,True
2015,2,11,True
2015,2,12,True
2015,2,13,True
2015,2,14,False
2015,2,15,True
2015,2,16,True
2015,2,17,True
2015,2,18,False
2015,2,19,False
2015,2,20,False
2015,2,21,False
2015,2,22,False
2015,2,23,False
2015,2,24,False
2015,2,25,True
2015,2,26,True
2015,2,27,True
2015,2,28,True
2015,3,1,False
2015,3,2,True
2015,3,3,True
2015,3,4,True
2015,3,5,True
2015,3,6,True
2015,3,7,False
2015,3,8,False
2015,3,9,True
2015,3,10,True
2015,3,11,True
2015,3,12,True
2015,3,13,True
2015,3,14,False
2015,3,15,False
2015,3,16,True
2015,3,17,True
2015,3,18,True
2015,3,19,True
2015,3,20,True
2015,3,21,False
2015,3,22,False
2015,3,23,True
2015,3,24,True
2015,3,25,True
2015,3,26,True
2015,3,27,True
2015,3,28,False
2015,3,29,False
2015,3,30,True
2015,3,31,True
2015,4,1,True
2015,4,2,True
2015,4,3,True
2015,4,4,False
2015,4,5,False
2015,4,6,False
2015,4,7,True
2015,4,8,True
2015,4,9,True
2015,4,10,True
2015,4,11,False
2015,4,12,False
2015,4,13,True
2015,4,14,True
2015,4,15,True
2015,4,16,True
2015,4,17,True
2015,4,18,False
2015,4,19,False
2015,4,20,True
2015,4,21,True
2015,4,22,True
2015,4,23,True
2015,4,24,True
2015,4,25,False
2015,4,26,False
2015,4,27,True
2015,4,28,True
2015,4,29,True
2015,4,30,True
2015,5,1,False
2015,5,2,False
2015,5,3,False
2015,5,4,True
2015,5,5,True
2015,5,6,True
2015,5,7,True
2015,5,8,True
2015,5,9,False
2015,5,10,False
2015,5,11,True
2015,5,12,True
2015,5,13,True
2015,5,14,True
2015,5,15,True
2015,5,16,False
2015,5,17,False
2015,5,18,True
2015,5,19,True
2015,5,20,True
2015,5,21,True
2015,5,22,True
2015,5,23,False
2015,5,24,False
2015,5,25,True
2015,5,26,True
2015,5,27,True
2015,5,28,True
2015,5,29,True
2015,5,30,False
2015,5,31,False
2015,6,1,True
2015,6,2,True
2015,6,3,True
2015,6,4,True
2015,6,5,True
2015,6,6,False
2015,6,7,False
2015,6,8,True
2015,6,9,True
2015,6,10,True
2015,6,11,True
2015,6,12,True
2015,6,13,False
2015,6,14,False
2015,6,15,True
2015,6,16,True
2015,6,17,True
2015,6,18,True
2015,6,19,True
2015,6,20,False
2015,6,21,False
2015,6,22,False
2015,6,23,True
2015,6,24,True
2015,6,25,True
2015,6,26,True
2015,6,27,False
2015,6,28,False
2015,6,29,True
2015,6,30,True
2015,7,1,True
2015,7,2,True
2015,7,3,True
2015,7,4,False
2015,7,5,False
2015,7,6,True
2015,7,7,True
2015,7,8,True
2015,7,9,True
2015,7,10,True
2015,7,11,False
2015,7,12,False
2015,7,13,True
2015,7,14,True
2015,7,15,True
2015,7,16,True
2015,7,17,True
2015,7,18,False
2015,7,19,False
2015,7,20,True
2015,7,21,True
2015,7,22,True
2015,7,23,True
2015,7,24,True
2015,7,25,False
2015,7,26,False
2015,7,27,True
2015,7,28,True
2015,7,29,True
2015,7,30,True
2015,7,31,True
2015,8,1,False
2015,8,2,False
2015,8,3,True
2015,8,4,True
2015,8,5,True
2015,8,6,True
2015,8,7,True
2015,8,8,False
2015,8,9,False
2015,8,10,True
2015,8,11,True
2015,8,12,True
2015,8,13,True
2015,8,14,True
2015,8,15,False
2015,8,16,False
2015,8,17,True
2015,8,18,True
2015,8,19,True
2015,8,20,True
2015,8,21,True
2015,8,22,False
2015,8,23,False
2015,8,24,True
2015,8,25,True
2015,8,26,True
2015,8,27,True
2015,8,28,True
2015,8,29,False
2015,8,30,False
2015,8,31,True
2015,9,1,True
2015,9,2,True
2015,9,3,False
2015,9,4,False
2015,9,5,False
2015,9,6,True
2015,9,7,True
2015,9,8,True
2015,9,9,True
2015,9,10,True
2015,9,11,True
2015,9,12,False
2015,9,13,False
2015,9,14,True
2015,9,15,True
2015,9,16,True
2015,9,17,True
2015,9,18,True
2015,9,19,False
2015,9,20,False
2015,9,21,True
2015,9,22,True
2015,9,23,True
2015,9,24,True
2015,9,25,True
2015,9,26,False
2015,9,27,False
2015,9,28,True
2015,9,29,True
2015,9,30,True
2015,10,1,False
2015,10,2,False
2015,10,3,False
2015,10,4,False
2015,10,5,False
2015,10,6,False
2015,10,7,False
2015,10,8,True
2015,10,9,True
2015,10,10,True
2015,10,11,False
2015,10,12,True
2015,10,13,True
2015,10,14,True
2015,10,15,True
2015,10,16,True
2015,10,17,False
2015,10,18,False
2015,10,19,True
2015,10,20,True
2015,10,21,True
2015,10,22,True
2015,10,23,True
2015,10,24,False
2015,10,25,False
2015,10,26,True
2015,10,27,True
2015,10,28,True
2015,10,29,True
2015,10,30,True
2015,10,31,False
2015,11,1,False
2015,11,2,True
2015,11,3,True
2015,11,4,True
2015,11,5,True
2015,11,6,True
2015,11,7,False
2015,11,8,False
2015,11,9,True
2015,11,10,True
2015,11,11,True
2015,11,12,True
2015,11,13,True
2015,11,14,False
2015,11,15,False
2015,11,16,True
2015,11,17,True
2015,11,18,True
2015,11,19,True
2015,11,20,True
2015,11,21,False
2015,11,22,False
2015,11,23,True
2015,11,24,True
2015,11,25,True
2015,11,26,True
2015,11,27,True
2015,11,28,False
2015,11,29,False
2015,11,30,True
2015,12,1,True
2015,12,2,True
2015,12,3,True
2015,12,4,True
2015,12,5,False
2015,12,6,False
2015,12,7,True
2015,12,8,True
2015,12,9,True
2015,12,10,True
2015,12,11,True
2015,12,12,False
2015,12,13,False
2015,12,14,True
2015,12,15,True
2015,12,16,True
2015,12,17,True
2015,12,18,True
2015,12,19,False
2015,12,20,False
2015,12,21,True
2015,12,22,True
2015,12,23,True
2015,12,24,True
2015,12,25,True
2015,12,26,False
2015,12,27,False
2015,12,28,True
2015,12,29,True
2015,12,30,True
2015,12,31,True
2016,1,1,False
2016,1,2,False
2016,1,3,False
2016,1,4,True
2016,1,5,True
2016,1,6,True
2016,1,7,True
2016,1,8,True
2016,1,9,False
2016,1,10,False
2016,1,11,True
2016,1,12,True
2016,1,13,True
2016,1,14,True
2016,1,15,True
2016,1,16,False
2016,1,17,False
2016,1,18,True
2016,1,19,True
2016,1,20,True
2016,1,21,True
2016,1,22,True
2016,1,23,False
2016,1,24,False
2016,1,25,True
2016,1,26,True
2016,1,27,True
2016,1,28,True
2016,1,29,True
2016,1,30,False
2016,1,31,False
2016,2,1,True
2016,2,2,True
2016,2,3,True
2016,2,4,True
2016,2,5,True
2016,2,6,True
2016,2,7,False
2016,2,8,False
2016,2,9,False
2016,2,10,False
2016,2,11,False
2016,2,12,False
2016,2,13,False
2016,2,14,True
2016,2,15,True
2016,2,16,True
2016,2,17,True
2016,2,18,True
2016,2,19,True
2016,2,20,False
2016,2,21,False
2016,2,22,True
2016,2,23,True
2016,2,24,True
2016,2,25,True
2016,2,26,True
2016,2,27,False
2016,2,28,False
2016,2,29,True
2016,3,1,True
2016,3,2,True
2016,3,3,True
2016,3,4,True
2016,3,5,False
2016,3,6,False
2016,3,7,True
2016,3,8,True
2016,3,9,True
2016,3,10,True
2016,3,11,True
2016,3,12,False
2016,3,13,False
2016,3,14,True
2016,3,15,True
2016,3,16,True
2016,3,17,True
2016,3,18,True
2016,3,19,False
2016,3,20,False
2016,3,21,True
2016,3,22,True
2016,3,23,True
2016,3,24,True
2016,3,25,True
2016,3,26,False
2016,3,27,False
2016,3,28,True
2016,3,29,True
2016,3,30,True
2016,3,31,True
2016,4,1,True
2016,4,2,False
2016,4,3,False
2016,4,4,False
2016,4,5,True
2016,4,6,True
2016,4,7,True
2016,4,8,True
2016,4,9,False
2016,4,10,False
2016,4,11,True
2016,4,12,True
2016,4,13,True
2016,4,14,True
2016,4,15,True
2016,4,16,False
2016,4,17,False
2016,4,18,True
2016,4,19,True
2016,4,20,True
2016,4,21,True
2016,4,22,True
2016,4,23,False
2016,4,24,False
2016,4,25,True
2016,4,26,True
2016,4,27,True
2016,4,28,True
2016,4,29,True
2016,4,30,False
2016,5,1,False
2016,5,2,False
2016,5,3,True
2016,5,4,True
2016,5,5,True
2016,5,6,True
2016,5,7,False
2016,5,8,False
2016,5,9,True
2016,5,10,True
2016,5,11,True
2016,5,12,True
2016,5,13,True
2016,5,14,False
2016,5,15,False
2016,5,16,True
2016,5,17,True
2016,5,18,True
2016,5,19,True
2016,5,20,True
2016,5,21,False
2016,5,22,False
2016,5,23,True
2016,5,24,True
2016,5,25,True
2016,5,26,True
2016,5,27,True
2016,5,28,False
2016,5,29,False
2016,5,30,True
2016,5,31,True
2016,6,1,True
2016,6,2,True
2016,6,3,True
2016,6,4,False
2016,6,5,False
2016,6,6,True
2016,6,7,True
2016,6,8,True
2016,6,9,False
2016,6,10,False
2016,6,11,False
2016,6,12,True
2016,6,13,True
2016,6,14,True
2016,6,15,True
2016,6,16,True
2016,6,17,True
2016,6,18,False
2016,6,19,False
2016,6,20,True
2016,6,21,True
2016,6,22,True
2016,6,23,True
2016,6,24,True
2016,6,25,False
2016,6,26,False
2016,6,27,True
2016,6,28,True
2016,6,29,True
2016,6,30,True
2016,7,1,True
2016,7,2,False
2016,7,3,False
2016,7,4,True
2016,7,5,True
2016,7,6,True
2016,7,7,True
2016,7,8,True
2016,7,9,False
2016,7,10,False
2016,7,11,True
2016,7,12,True
2016,7,13,True
2016,7,14,True
2016,7,15,True
2016,7,16,False
2016,7,17,False
2016,7,18,True
2016,7,19,True
2016,7,20,True
2016,7,21,True
2016,7,22,True
2016,7,23,False
2016,7,24,False
2016,7,25,True
2016,7,26,True
2016,7,27,True
2016,7,28,True
2016,7,29,True
2016,7,30,False
2016,7,31,False
2016,8,1,True
2016,8,2,True
2016,8,3,True
2016,8,4,True
2016,8,5,True
2016,8,6,False
2016,8,7,False
2016,8,8,True
2016,8,9,True
2016,8,10,True
2016,8,11,True
2016,8,12,True
2016,8,13,False
2016,8,14,False
2016,8,15,True
2016,8,16,True
2016,8,17,True
2016,8,18,True
2016,8,19,True
2016,8,20,False
2016,8,21,False
2016,8,22,True
2016,8,23,True
2016,8,24,True
2016,8,25,True
2016,8,26,True
2016,8,27,False
2016,8,28,False
2016,8,29,True
2016,8,30,True
2016,8,31,True
2016,9,1,True
2016,9,2,True
2016,9,3,False
2016,9,4,False
2016,9,5,True
2016,9,6,True
2016,9,7,True
2016,9,8,True
2016,9,9,True
2016,9,10,False
2016,9,11,False
2016,9,12,True
2016,9,13,True
2016,9,14,True
2016,9,15,False
2016,9,16,False
2016,9,17,False
2016,9,18,True
2016,9,19,True
2016,9,20,True
2016,9,21,True
2016,9,22,True
2016,9,23,True
2016,9,24,False
2016,9,25,False
2016,9,26,True
2016,9,27,True
2016,9,28,True
2016,9,29,True
2016,9,30,True
2016,10,1,False
2016,10,2,False
2016,10,3,False
2016,10,4,False
2016,10,5,False
2016,10,6,False
2016,10,7,False
2016,10,8,True
2016,10,9,True
2016,10,10,True
2016,10,11,True
2016,10,12,True
2016,10,13,True
2016,10,14,True
2016,10,15,False
2016,10,16,False
2016,10,17,True
2016,10,18,True
2016,10,19,True
2016,10,20,True
2016,10,21,True
2016,10,22,False
2016,10,23,False
2016,10,24,True
2016,10,25,True
2016,10,26,True
2016,10,27,True
2016,10,28,True
2016,10,29,False
2016,10,30,False
2016,10,31,True
2016,11,1,True
2016,11,2,True
2016,11,3,True
2016,11,4,True
2016,11,5,False
2016,11,6,False
2016,11,7,True
2016,11,8,True
2016,11,9,True
2016,11,10,True
2016,11,11,True
2016,11,12,False
2016,11,13,False
2016,11,14,True
2016,11,15,True
2016,11,16,True
2016,11,17,True
2016,11,18,True
2016,11,19,False
2016,11,20,False
2016,11,21,True
2016,11,22,True
2016,11,23,True
2016,11,24,True
2016,11,25,True
2016,11,26,False
2016,11,27,False
2016,11,28,True
2016,11,29,True
2016,11,30,True
2016,12,1,True
2016,12,2,True
2016,12,3,False
2016,12,4,False
2016,12,5,True
2016,12,6,True
2016,12,7,True
2016,12,8,True
2016,12,9,True
2016,12,10,False
2016,12,11,False
2016,12,12,True
2016,12,13,True
2016,12,14,True
2016,12,15,True
2016,12,16,True
2016,12,17,False
2016,12,18,False
2016,12,19,True
2016,12,20,True
2016,12,21,True
2016,12,22,True
2016,12,23,True
2016,12,24,False
2016,12,25,False
2016,12,26,True
2016,12,27,True
2016,12,28,True
2016,12,29,True
2016,12,30,True
2016,12,31,False
2017,1,1,False
2017,1,2,False
2017,1,3,True
2017,1,4,True
2017,1,5,True
2017,1,6,True
2017,1,7,False
2017,1,8,False
2017,1,9,True
2017,1,10,True
2017,1,11,True
2017,1,12,True
2017,1,13,True
2017,1,14,False
2017,1,15,False
2017,1,16,True
2017,1,17,True
2017,1,18,True
2017,1,19,True
2017,1,20,True
2017,1,21,False
2017,1,22,True
2017,1,23,True
2017,1,24,True
2017,1,25,True
2017,1,26,True
2017,1,27,False
2017,1,28,False
2017,1,29,False
2017,1,30,False
2017,1,31,False
2017,2,1,False
2017,2,2,False
2017,2,3,True
2017,2,4,True
2017,2,5,False
2017,2,6,True
2017,2,7,True
2017,2,8,True
2017,2,9,True
2017,2,10,True
2017,2,11,False
2017,2,12,False
2017,2,13,True
2017,2,14,True
2017,2,15,True
2017,2,16,True
2017,2,17,True
2017,2,18,False
2017,2,19,False
2017,2,20,True
2017,2,21,True
2017,2,22,True
2017,2,23,True
2017,2,24,True
2017,2,25,False
2017,2,26,False
2017,2,27,True
2017,2,28,True
2017,3,1,True
2017,3,2,True
2017,3,3,True
2017,3,4,False
2017,3,5,False
2017,3,6,True
2017,3,7,True
2017,3,8,True
2017,3,9,True
2017,3,10,True
2017,3,11,False
2017,3,12,False
2017,3,13,True
2017,3,14,True
2017,3,15,True
2017,3,16,True
2017,3,17,True
2017,3,18,False
2017,3,19,False
2017,3,20,True
2017,3,21,True
2017,3,22,True
2017,3,23,True
2017,3,24,True
2017,3,25,False
2017,3,26,False
2017,3,27,True
2017,3,28,True
2017,3,29,True
2017,3,30,True
2017,3,31,True
2017,4,1,True
2017,4,2,False
2017,4,3,False
2017,4,4,False
2017,4,5,True
2017,4,6,True
2017,4,7,True
2017,4,8,False
2017,4,9,False
2017,4,10,True
2017,4,11,True
2017,4,12,True
2017,4,13,True
2017,4,14,True
2017,4,15,False
2017,4,16,False
2017,4,17,True
2017,4,18,True
2017,4,19,True
2017,4,20,True
2017,4,21,True
2017,4,22,False
2017,4,23,False
2017,4,24,True
2017,4,25,True
2017,4,26,True
2017,4,27,True
2017,4,28,True
2017,4,29,False
2017,4,30,False
2017,5,1,False
2017,5,2,True
2017,5,3,True
2017,5,4,True
2017,5,5,True
2017,5,6,False
2017,5,7,False
2017,5,8,True
2017,5,9,True
2017,5,10,True
2017,5,11,True
2017,5,12,True
2017,5,13,False
2017,5,14,False
2017,5,15,True
2017,5,16,True
2017,5,17,True
2017,5,18,True
2017,5,19,True
2017,5,20,False
2017,5,21,False
2017,5,22,True
2017,5,23,True
2017,5,24,True
2017,5,25,True
2017,5,26,True
2017,5,27,True
2017,5,28,False
2017,5,29,False
2017,5,30,False
2017,5,31,True
2017,6,1,True
2017,6,2,True
2017,6,3,False
2017,6,4,False
2017,6,5,True
2017,6,6,True
2017,6,7,True
2017,6,8,True
2017,6,9,True
2017,6,10,False
2017,6,11,False
2017,6,12,True
2017,6,13,True
2017,6,14,True
2017,6,15,True
2017,6,16,True
2017,6,17,False
2017,6,18,False
2017,6,19,True
2017,6,20,True
2017,6,21,True
2017,6,22,True
2017,6,23,True
2017,6,24,False
2017,6,25,False
2017,6,26,True
2017,6,27,True
2017,6,28,True
2017,6,29,True
2017,6,30,True
2017,7,1,False
2017,7,2,False
2017,7,3,True
2017,7,4,True
2017,7,5,True
2017,7,6,True
2017,7,7,True
2017,7,8,False
2017,7,9,False
2017,7,10,True
2017,7,11,True
2017,7,12,True
2017,7,13,True
2017,7,14,True
2017,7,15,False
2017,7,16,False
2017,7,17,True
2017,7,18,True
2017,7,19,True
2017,7,20,True
2017,7,21,True
2017,7,22,False
2017,7,23,False
2017,7,24,True
2017,7,25,True
2017,7,26,True
2017,7,27,True
2017,7,28,True
2017,7,29,False
2017,7,30,False
2017,7,31,True
2017,8,1,True
2017,8,2,True
2017,8,3,True
2017,8,4,True
2017,8,5,False
2017,8,6,False
2017,8,7,True
2017,8,8,True
2017,8,9,True
2017,8,10,True
2017,8,11,True
2017,8,12,False
2017,8,13,False
2017,8,14,True
2017,8,15,True
2017,8,16,True
2017,8,17,True
2017,8,18,True
2017,8,19,False
2017,8,20,False
2017,8,21,True
2017,8,22,True
2017,8,23,True
2017,8,24,True
2017,8,25,True
2017,8,26,False
2017,8,27,False
2017,8,28,True
2017,8,29,True
2017,8,30,True
2017,8,31,True
2017,9,1,True
2017,9,2,False
2017,9,3,False
2017,9,4,True
2017,9,5,True
2017,9,6,True
2017,9,7,True
2017,9,8,True
2017,9,9,False
2017,9,10,False
2017,9,11,True
2017,9,12,True
2017,9,13,True
2017,9,14,True
2017,9,15,True
2017,9,16,False
2017,9,17,False
2017,9,18,True
2017,9,19,True
2017,9,20,True
2017,9,21,True
2017,9,22,True
2017,9,23,False
2017,9,24,False
2017,9,25,True
2017,9,26,True
2017,9,27,True
2017,9,28,True
2017,9,29,True
2017,9,30,True
2017,10,1,False
2017,10,2,False
2017,10,3,False
2017,10,4,False
2017,10,5,False
2017,10,6,False
2017,10,7,False
2017,10,8,False
2017,10,9,True
2017,10,10,True
2017,10,11,True
2017,10,12,True
2017,10,13,True
2017,10,14,False
2017,10,15,False
2017,10,16,True
2017,10,17,True
2017,10,18,True
2017,10,19,True
2017,10,20,True
2017,10,21,False
2017,10,22,False
2017,10,23,True
2017,10,24,True
2017,10,25,True
2017,10,26,True
2017,10,27,True
2017,10,28,False
2017,10,29,False
2017,10,30,True
2017,10,31,True
2017,11,1,True
2017,11,2,True
2017,11,3,True
2017,11,4,False
2017,11,5,False
2017,11,6,True
2017,11,7,True
2017,11,8,True
2017,11,9,True
2017,11,10,True
2017,11,11,False
2017,11,12,False
2017,11,13,True
2017,11,14,True
2017,11,15,True
2017,11,16,True
2017,11,17,True
2017,11,18,False
2017,11,19,False
2017,11,20,True
2017,11,21,True
2017,11,22,True
2017,11,23,True
2017,11,24,True
2017,11,25,False
2017,11,26,False
2017,11,27,True
2017,11,28,True
2017,11,29,True
2017,11,30,True
2017,12,1,True
2017,12,2,False
2017,12,3,False
2017,12,4,True
2017,12,5,True
2017,12,6,True
2017,12,7,True
2017,12,8,True
2017,12,9,False
2017,12,10,False
2017,12,11,True
2017,12,12,True
2017,12,13,True
2017,12,14,True
2017,12,15,True
2017,12,16,False
2017,12,17,False
2017,12,18,True
2017,12,19,True
2017,12,20,True
2017,12,21,True
2017,12,22,True
2017,12,23,False
2017,12,24,False
2017,12,25,True
2017,12,26,True
2017,12,27,True
2017,12,28,True
2017,12,29,True
2017,12,30,False
2017,12,31,False
2018,1,1,False
2018,1,2,True
2018,1,3,True
2018,1,4,True
2018,1,5,True
2018,1,6,False
2018,1,7,False
2018,1,8,True
2018,1,9,True
2018,1,10,True
2018,1,11,True
2018,1,12,True
2018,1,13,False
2018,1,14,False
2018,1,15,True
2018,1,16,True
2018,1,17,True
2018,1,18,True
2018,1,19,True
2018,1,20,False
2018,1,21,False
2018,1,22,True
2018,1,23,True
2018,1,24,True
2018,1,25,True
2018,1,26,True
2018,1,27,False
2018,1,28,False
2018,1,29,True
2018,1,30,True
2018,1,31,True
2018,2,1,True
2018,2,2,True
2018,2,3,False
2018,2,4,False
2018,2,5,True
2018,2,6,True
2018,2,7,True
2018,2,8,True
2018,2,9,True
2018,2,10,False
2018,2,11,True
2018,2,12,True
2018,2,13,True
2018,2,14,True
2018,2,15,False
2018,2,16,False
2018,2,17,False
2018,2,18,False
2018,2,19,False
2018,2,20,False
2018,2,21,False
2018,2,22,True
2018,2,23,True
2018,2,24,True
2018,2,25,False
2018,2,26,True
2018,2,27,True
2018,2,28,True
2018,3,1,True
2018,3,2,True
2018,3,3,False
2018,3,4,False
2018,3,5,True
2018,3,6,True
2018,3,7,True
2018,3,8,True
2018,3,9,True
2018,3,10,False
2018,3,11,False
2018,3,12,True
2018,3,13,True
2018,3,14,True
2018,3,15,True
2018,3,16,True
2018,3,17,False
2018,3,18,False
2018,3,19,True
2018,3,20,True
2018,3,21,True
2018,3,22,True
2018,3,23,True
2018,3,24,False
2018,3,25,False
2018,3,26,True
2018,3,27,True
2018,3,28,True
2018,3,29,True
2018,3,30,True
2018,3,31,False
2018,4,1,False
2018,4,2,True
2018,4,3,True
2018,4,4,True
2018,4,5,False
2018,4,6,False
2018,4,7,False
2018,4,8,True
2018,4,9,True
2018,4,10,True
2018,4,11,True
2018,4,12,True
2018,4,13,True
2018,4,14,False
2018,4,15,False
2018,4,16,True
2018,4,17,True
2018,4,18,True
2018,4,19,True
2018,4,20,True
2018,4,21,False
2018,4,22,False
2018,4,23,True
2018,4,24,True
2018,4,25,True
2018,4,26,True
2018,4,27,True
2018,4,28,True
2018,4,29,False
2018,4,30,False
2018,5,1,False
2018,5,2,True
2018,5,3,True
2018,5,4,True
2018,5,5,False
2018,5,6,False
2018,5,7,True
2018,5,8,True
2018,5,9,True
2018,5,10,True
2018,5,11,True
2018,5,12,False
2018,5,13,False
2018,5,14,True
2018,5,15,True
2018,5,16,True
2018,5,17,True
2018,5,18,True
2018,5,19,False
2018,5,20,False
2018,5,21,True
2018,5,22,True
2018,5,23,True
2018,5,24,True
2018,5,25,True
2018,5,26,False
2018,5,27,False
2018,5,28,True
2018,5,29,True
2018,5,30,True
2018,5,31,True
2018,6,1,True
2018,6,2,False
2018,6,3,False
2018,6,4,True
2018,6,5,True
2018,6,6,True
2018,6,7,True
2018,6,8,True
2018,6,9,False
2018,6,10,False
2018,6,11,True
2018,6,12,True
2018,6,13,True
2018,6,14,True
2018,6,15,True
2018,6,16,False
2018,6,17,False
2018,6,18,False
2018,6,19,True
2018,6,20,True
2018,6,21,True
2018,6,22,True
2018,6,23,False
2018,6,24,False
2018,6,25,True
2018,6,26,True
2018,6,27,True
2018,6,28,True
2018,6,29,True
2018,6,30,False
2018,7,1,False
2018,7,2,True
2018,7,3,True
2018,7,4,True
2018,7,5,True
2018,7,6,True
2018,7,7,False
2018,7,8,False
2018,7,9,True
2018,7,10,True
2018,7,11,True
2018,7,12,True
2018,7,13,True
2018,7,14,False
2018,7,15,False
2018,7,16,True
2018,7,17,True
2018,7,18,True
2018,7,19,True
2018,7,20,True
2018,7,21,False
2018,7,22,False
2018,7,23,True
2018,7,24,True
2018,7,25,True
2018,7,26,True
2018,7,27,True
2018,7,28,False
2018,7,29,False
2018,7,30,True
2018,7,31,True
2018,8,1,True
2018,8,2,True
2018,8,3,True
2018,8,4,False
2018,8,5,False
2018,8,6,True
2018,8,7,True
2018,8,8,True
2018,8,9,True
2018,8,10,True
2018,8,11,False
2018,8,12,False
2018,8,13,True
2018,8,14,True
2018,8,15,True
2018,8,16,True
2018,8,17,True
2018,8,18,False
2018,8,19,False
2018,8,20,True
2018,8,21,True
2018,8,22,True
2018,8,23,True
2018,8,24,True
2018,8,25,False
2018,8,26,False
2018,8,27,True
2018,8,28,True
2018,8,29,True
2018,8,30,True
